from_Locus,to_Locus
254595_at,265821_at
254595_at,246072_at
254595_at,251898_at
254595_at,259372_at
254595_at,254595_at
247553_at,247490_at
259372_at,250869_at
259372_at,246072_at
259372_at,247490_at
259372_at,251898_at
259372_at,247553_at
259372_at,254595_at
246217_at,250869_at
246217_at,254595_at
251898_at,246072_at
251898_at,251898_at
251898_at,259372_at
250374_at,250869_at
250374_at,247490_at
250374_at,264638_at
250374_at,254595_at
264638_at,259372_at
247490_at,250869_at
247490_at,264872_at
247490_at,259124_at
247490_at,246531_at
247490_at,246072_at
247490_at,250374_at
247490_at,251898_at
247490_at,259372_at
247490_at,254595_at
246072_at,246072_at
246072_at,251898_at
246072_at,259372_at
246531_at,265821_at
246531_at,246072_at
246531_at,251898_at
246531_at,254595_at
259124_at,265821_at
259124_at,246072_at
259124_at,251898_at
259124_at,254595_at
264872_at,265821_at
264872_at,246072_at
264872_at,251898_at
264872_at,254595_at
250869_at,247490_at
250869_at,246217_at
250869_at,259372_at
250869_at,247553_at
250869_at,254595_at
265153_at,251898_at
265821_at,265821_at
265821_at,254595_at
